timestamp,ticker,direction,ev,z_score,rsi,macd_histogram,market_p_win,yes_price,dry_run,outcome,pnl_est
2026-03-16T01:51:01Z,KXBTC15M-26MAR152200-00,DOWN,0.0621,2.0701,61.64,1.076131,0.5,0.5,True,PENDING,
2026-03-17T22:59:29Z,KXBTC15M-26MAR171900-00,DOWN,0.0627,2.0905,81.75,23.899746,0.5,0.5,True,PENDING,
2026-03-17T23:00:18Z,KXBTC15M-26MAR171915-15,DOWN,0.0657,2.1907,81.14,24.032227,0.5,0.5,True,PENDING,
2026-03-18T07:52:37Z,KXBTC15M-26MAR180400-00,DOWN,0.0622,2.0727,58.04,17.619993,0.5,0.5,True,PENDING,
2026-03-18T08:01:14Z,KXBTC15M-26MAR180415-15,DOWN,0.1199,3.9961,78.9,9.328955,0.5,0.5,True,PENDING,
2026-03-18T22:00:25Z,KXBTC15M-26MAR181815-15,UP,0.0071,-2.4301,35.49,-8.299176,0.42,0.42,True,PENDING,
2026-03-20T02:54:00Z,KXBTC15M-26MAR192300-00,DOWN,0.0882,2.9398,83.69,27.523494,0.5,0.5,70,True,PENDING,
2026-03-22T20:19:00Z,KXBTC15M-26MAR221630-30,DOWN,0.0608,2.0264,69.69,10.213638,0.5,0.5,85.0,True,PENDING,
